"table_name","module","name","description"
"statuses","TICKET","OPEN","New ticket created"
"statuses","TICKET","IN_PROGRESS","Work is being performed"
"statuses","TICKET","RESOLVED","Solution provided"
"statuses","TICKET","CLOSED","Ticket completed"
"statuses","CHANGE","DRAFT","Change request being prepared"
"statuses","CHANGE","APPROVED","Change approved"
"statuses","CHANGE","IMPLEMENTING","Change being implemented"
"statuses","CHANGE","COMPLETED","Change completed"
"statuses","KNOWLEDGE","DRAFT","Article being prepared"
"statuses","KNOWLEDGE","REVIEW","Article under review"
"statuses","KNOWLEDGE","PUBLISHED","Article available for use"
"statuses","KNOWLEDGE","ARCHIVED","Article retired"
"statuses","CI","ACTIVE","CI is operational"
"statuses","CI","MAINTENANCE","CI under maintenance"
"statuses","CI","RETIRED","CI no longer used"
"ticket_types",NULL,"INCIDENT","Unplanned interruption"
"ticket_types",NULL,"SERVICE_REQUEST","User request"
"ticket_types",NULL,"CHANGE","Infrastructure modification"
"ticket_types",NULL,"PROBLEM","Root cause investigation"
"ticket_types",NULL,"REQUEST","User request for a service or information"
"priorities",NULL,"CRITICAL","Critical impact"
"priorities",NULL,"HIGH","High impact"
"priorities",NULL,"MEDIUM","Medium impact"
"priorities",NULL,"LOW","Low impact"
"ci_types",NULL,"SERVER","Server"
"ci_types",NULL,"DATABASE","Database"
"ci_types",NULL,"APPLICATION","Application"
"ci_types",NULL,"NETWORK_DEVICE","Network device"
"ci_types",NULL,"CLOUD_RESOURCE","Cloud resource"
"risk_levels",NULL,"LOW","Minimal impact"
"risk_levels",NULL,"MEDIUM","Moderate impact"
"risk_levels",NULL,"HIGH","Significant impact"
"risk_levels",NULL,"CRITICAL","Severe business impact"
"approval_statuses",NULL,"PENDING","Awaiting approval"
"approval_statuses",NULL,"APPROVED","Approved"
"approval_statuses",NULL,"REJECTED","Rejected"
"knowledge_categories",NULL,"NETWORK","Network articles"
"knowledge_categories",NULL,"DATABASE","Database articles"
"knowledge_categories",NULL,"APPLICATION","Application articles"
"knowledge_categories",NULL,"SECURITY","Security articles"
"knowledge_categories",NULL,"CLOUD","Cloud articles"
"activity_types",NULL,"WORK_NOTE","Internal investigation note"
"activity_types",NULL,"COMMENT","User visible comment"
"activity_types",NULL,"STATUS_CHANGE","Ticket status update"
"activity_types",NULL,"ASSIGNMENT_CHANGE","Assignment update"
"ci_relationship_types",NULL,"AFFECTED","CI impacted by ticket"
"ci_relationship_types",NULL,"CHANGED","CI modified by change"
"ci_relationship_types",NULL,"ROOT_CAUSE","CI responsible for issue"
