"table_name","column_name","referenced_table","referenced_column"
"audit_logs","changed_by","users","id"
"audit_logs","organization_id","organizations","id"
"changes","risk_level_id","risk_levels","id"
"changes","ticket_id","tickets","id"
"changes","approval_status_id","approval_statuses","id"
"configuration_items","status_id","statuses","id"
"configuration_items","ci_type_id","ci_types","id"
"configuration_items","owner_id","users","id"
"configuration_items","organization_id","organizations","id"
"departments","organization_id","organizations","id"
"incidents","ticket_id","tickets","id"
"knowledge_articles","organization_id","organizations","id"
"knowledge_articles","created_by","users","id"
"knowledge_articles","category_id","knowledge_categories","id"
"knowledge_articles","status_id","statuses","id"
"problem_changes","problem_id","problems","id"
"problem_changes","change_id","tickets","id"
"problem_incidents","problem_id","problems","id"
"problem_incidents","incident_id","tickets","id"
"problems","ticket_id","tickets","id"
"service_requests","requested_for","users","id"
"service_requests","ticket_id","tickets","id"
"service_requests","approval_status_id","approval_statuses","id"
"ticket_activities","ticket_id","tickets","id"
"ticket_activities","activity_type_id","activity_types","id"
"ticket_activities","created_by","users","id"
"ticket_configuration_items","ticket_id","tickets","id"
"ticket_configuration_items","ci_id","configuration_items","id"
"ticket_configuration_items","relationship_type_id","ci_relationship_types","id"
"tickets","ticket_type_id","ticket_types","id"
"tickets","priority_id","priorities","id"
"tickets","created_by","users","id"
"tickets","department_id","departments","id"
"tickets","organization_id","organizations","id"
"tickets","assigned_to","users","id"
"tickets","status_id","statuses","id"
"users","role_id","roles","id"
"users","organization_id","organizations","id"
"users","department_id","departments","id"
